# Devanagari
#
09A1;bnDDA;BENGALI LETTER DDA
09A2;bnDDHA;BENGALI LETTER DDHA
09A3;bnNNA;BENGALI LETTER NNA
09A4;bnTA;BENGALI LETTER TA
09A5;bnTHA;BENGALI LETTER THA
09A6;bnDA;BENGALI LETTER DA
09A7;bnDHA;BENGALI LETTER DHA
09A8;bnNA;BENGALI LETTER NA
09AA;bnPA;BENGALI LETTER PA
09AB;bnPHA;BENGALI LETTER PHA
09AC;bnBA;BENGALI LETTER BA
09AD;bnBHA;BENGALI LETTER BHA
09AE;bnMA;BENGALI LETTER MA
09AF;bnYA;BENGALI LETTER YA
09B0;bnRA;BENGALI LETTER RA
09B2;bnLA;BENGALI LETTER LA
09B6;bnSHA;BENGALI LETTER SHA
09B7;bnSSA;BENGALI LETTER SSA
09B8;bnSA;BENGALI LETTER SA
09B9;bnHA;BENGALI LETTER HA
#
09F0;bnRAasamiya;BENGALI LETTER RA WITH MIDDLE DIAGONAL
09F1;bnWAasamiya;BENGALI LETTER RA WITH LOWER DIAGONAL
#
09DC;bnDDxA;BENGALI LETTER RRA
09DD;bnDDHxA;BENGALI LETTER RHA
09DF;bnYxA;BENGALI LETTER YYA
#
0982;bnAnusvara;BENGALI SIGN ANUSVARA
0981;bnCandrabindu;BENGALI SIGN CANDRABINDU
0983;bnVisarga;BENGALI SIGN VISARGA
09CD;bnVirama;BENGALI SIGN VIRAMA
09BC;bnNukta;BENGALI SIGN NUKTA
09BD;bnAvagraha;BENGALI SIGN AVAGRAHA
#
09CE;bnTAkhanda;BENGALI LETTER KHANDA TA
#
09E6;bnZero;BENGALI DIGIT ZERO
09E7;bnOne;BENGALI DIGIT ONE
09E8;bnTwo;BENGALI DIGIT TWO
09E9;bnThree;BENGALI DIGIT THREE
09EA;bnFour;BENGALI DIGIT FOUR
09EB;bnFive;BENGALI DIGIT FIVE
09EC;bnSix;BENGALI DIGIT SIX
09ED;bnSeven;BENGALI DIGIT SEVEN
09EE;bnEight;BENGALI DIGIT EIGHT
09EF;bnNine;BENGALI DIGIT NINE
#
0980;bnAnji;BENGALI ANJI
#
09F2;bnTaka;BENGALI RUPEE MARK
09F3;bnBangladeshitaka;BENGALI RUPEE SIGN
#
09F4;bnNumeratorone;BENGALI CURRENCY NUMERATOR ONE
09F5;bnNumeratortwo;BENGALI CURRENCY NUMERATOR TWO
09F6;bnNumeratorthree;BENGALI CURRENCY NUMERATOR THREE
09F7;bnNumeratorfour;BENGALI CURRENCY NUMERATOR FOUR
09F8;bnNumeratoroneless;BENGALI CURRENCY NUMERATOR ONE LESS THAN THE DENOMINATOR
09F9;bnDenominatorsixteen;BENGALI CURRENCY DENOMINATOR SIXTEEN
#
09FA;bnIsshar;BENGALI ISSHAR
#
09FB;bnGanda;BENGALI GANDA MARK
#
# Odia
#
0B05;odA;ORIYA LETTER A
0B06;odAA;ORIYA LETTER AA
0B07;odI;ORIYA LETTER I
0B08;odII;ORIYA LETTER II
0B09;odU;ORIYA LETTER U
0B0A;odUU;ORIYA LETTER UU
0B0B;odvR;ORIYA LETTER VOCALIC R
0B60;odvRR;ORIYA LETTER VOCALIC RR
0B0C;odvL;ORIYA LETTER VOCALIC L
0B61;odvLL;ORIYA LETTER VOCALIC LL
0B0F;odE;ORIYA LETTER E
0B10;odAI;ORIYA LETTER AI
0B13;odO;ORIYA LETTER O
0B14;odAU;ORIYA LETTER AU
#
0B3E;odmAA;ORIYA VOWEL SIGN AA
0B3F;odmI;ORIYA VOWEL SIGN I
0B40;odmII;ORIYA VOWEL SIGN II
0B41;odmU;ORIYA VOWEL SIGN U
0B42;odmUU;ORIYA VOWEL SIGN UU
0B43;odmvR;ORIYA VOWEL SIGN VOCALIC R
0B44;odmvRR;ORIYA VOWEL SIGN VOCALIC RR
0B62;odmvL;ORIYA VOWEL SIGN VOCALIC L
0B63;odmvLL;ORIYA VOWEL SIGN VOCALIC LL
0B47;odmE;ORIYA VOWEL SIGN E
0B48;odmAI;ORIYA VOWEL SIGN AI
0B4B;odmO;ORIYA VOWEL SIGN O
0B4C;odmAU;ORIYA VOWEL SIGN AU
#
0B56;odAIlengthmark;ORIYA AI LENGTH MARK
0B57;odAUlengthmark;ORIYA AU LENGTH MARK
#
0B15;odKA;ORIYA LETTER KA
